Row,Angle,CShape,heee,Leaf_2,Line,PShape,Sharpc,Sine,Multi_Models_2
RMSE,5.915691784,5.318361159,5.202659947,3.669574883,4.219314308,3.714406129,5.489977635,2.909433409,2.488594608
Velocity deviation,0.018620351,0.039247441,0.044873662,0.066252689,0.046930723,0.021381598,0.02901268,0.020794395,0.085878506
DTWD,884.1136862,1057.537355,3301.69461,2626.74411,114.6410389,3168.443392,1156.759497,971.2476997,663.8694597
Time,703.703125,736.1875,726.28125,710.5,737.0625,764.546875,759.1875,747.890625,798.421875
