Row,Angle,CShape,heee,Leaf_2,Line,PShape,Sharpc,Sine,Multi_Models_2
RMSE,6.235001862,5.380024983,5.733912148,3.620524504,4.360563332,3.491108769,5.798281361,2.847002188,2.606148243
Velocity deviation,0.019071579,0.040127688,0.060104982,0.066207895,0.047402839,0.018982795,0.029927731,0.020445916,0.086549745
DTWD,867.3334147,1053.216278,3616.754364,2682.176303,112.2262756,4225.788597,1110.525636,960.8306082,666.1827698
Time,428.25,417.9375,421.140625,436.59375,467.140625,483.765625,491.25,465.125,487.015625
