Row,Angle,CShape,heee,Leaf_2,Line,PShape,Sharpc,Sine,Multi_Models_2
RMSE,6.82969737,5.206205955,4.588578762,3.748586034,4.474110652,3.209101968,5.114936739,3.111881484,2.564249743
Velocity deviation,0.020585656,0.037973303,0.030656094,0.064877174,0.047385605,0.018384851,0.025510193,0.027251223,0.085827978
DTWD,951.0201094,1073.89223,1899.310853,5292.850573,122.4875584,2132.024422,941.8826188,1005.660568,696.9685724
Time,85.59375,332.3125,355.421875,360.1875,389.515625,387.1875,387.515625,376.421875,394.984375
