Row,Angle,CShape,heee,Leaf_2,Line,PShape,Sharpc,Sine,Multi_Models_2
RMSE,6.458197495,5.538632517,5.883185242,3.609370581,4.209367561,3.54896793,4.800653451,2.914845733,2.286139645
Velocity deviation,0.023901463,0.040262133,0.063660257,0.064480982,0.047644551,0.020523124,0.024049891,0.022013718,0.075659241
DTWD,943.335632,1012.614469,3467.088894,3183.383449,120.9713719,2942.017414,873.1958211,956.5995136,635.8466691
Time,533.21875,543.046875,531.921875,550.953125,546.5625,555.359375,566.75,576.3125,637.203125
