exp3,Angle,CShape,heee,Leaf_2,Line,PShape,Sharpc,Sine,Multi_Models_2
RMSE,7.334202008,5.882452367,5.458476441,4.467251577,4.298613697,3.406002735,5.74334239,3.150460044,2.805880199
Velocity deviation,0.030651626,0.040919019,0.06059578,0.085448132,0.049428787,0.019542382,0.031846297,0.026524475,0.081218402
DTWD,922.2862045,1067.807253,2278.335918,3425.107148,121.0505418,2291.009393,1392.702672,1138.662833,698.5802589
Time,253.875,269.953125,249.21875,274.25,251.296875,268.171875,249.40625,257.796875,245.46875
