exp5,Angle,CShape,heee,Leaf_2,Line,PShape,Sharpc,Sine,Multi_Models_2
RMSE,7.222700197,5.457218468,5.193635644,3.985947734,4.403235811,3.47503479,6.067197444,3.245416021,2.802224251
Velocity deviation,0.028268478,0.039451505,0.052172134,0.071182982,0.049656324,0.019695804,0.036702964,0.025060628,0.080428031
DTWD,942.9452616,1011.322407,2457.237424,3150.456224,120.6364323,2377.071565,1313.744435,1193.878976,711.8042243
Time,296.796875,256.71875,289.828125,268.8125,252.703125,252.4375,264.34375,258.453125,245.859375
