exp1,Angle,CShape,heee,Leaf_2,Line,PShape,Sharpc,Sine,Multi_Models_2
RMSE,8.064780734,5.361231093,5.479013953,3.94998482,4.331984791,3.918360293,5.281342619,3.141535562,2.626269375
Velocity deviation,0.028798931,0.036365011,0.044467123,0.070119544,0.04969525,0.021565791,0.026521168,0.024105629,0.077686861
DTWD,1027.625321,994.7958956,2424.700232,3074.59811,122.668044,3976.606365,873.9042927,1134.269082,661.7612265
Time,71.015625,312.546875,291.828125,264.625,252.6875,262.90625,269.09375,255.640625,249.28125
