exp4,Angle,CShape,heee,Leaf_2,Line,PShape,Sharpc,Sine,Multi_Models_2
RMSE,6.5837235,5.156032671,5.313979512,4.023926393,4.485430145,3.52498294,5.604782817,3.247841953,2.649292517
Velocity deviation,0.024454352,0.036912707,0.057952679,0.071568929,0.049205939,0.019982244,0.028830591,0.025643794,0.083325992
DTWD,908.8101091,990.6804633,2395.099502,3194.873465,124.6985623,2827.820162,1112.315803,1186.626332,682.9369638
Time,262.375,252.703125,260.28125,268.015625,252.21875,261.734375,281.953125,288.46875,243.640625
